"tk2" "tk3" "tk4" "value" "fk2" "fk3" "fk4"
"1059" 2 3 4 "1059" 2 3 4
"1060" 2 3 4 "1060" 2 3 4
"1061" 2 3 4 "1061" 2 3 4
"1062" 2 3 4 "1062" 2 3 4
"1063" 2 3 4 "1063" 2 3 4
"1064" 2 3 4 "1064" 2 3 4
"1065" 2 3 4 "1065" 2 3 4
"1066" 2 3 4 "1066" 2 3 4
"1067" 2 3 4 "1067" 2 3 4
"1068" 2 3 4 "1068" 2 3 4
"1073" 2 3 4 "1073" 2 3 4
"1074" 2 3 4 "1074" 2 3 4
"1075" 2 3 4 "1075" 2 3 4
"1076" 2 3 4 "1076" 2 3 4
"1077" 1 2 3 "1077" 2 3 4
"1078" 2 3 4 "1078" 2 3 4
"1079" 1 2 3 "1079" 2 3 4
"1085" 1 1 1 "1085" 1 2 3
"1086" 1 1 1 "1086" 1 2 3
"1087" 1 2 3 "1087" 1 2 3
"1090" 2 3 4 "1090" 2 3 4
"1091" 2 3 4 "1091" 2 3 4
"1092" 2 3 4 "1092" 2 3 4
"1093" 2 3 4 "1093" 2 3 4
"1094" 2 3 4 "1094" 2 3 4
"1095" 2 3 4 "1095" 2 3 4
"1096" 2 3 4 "1096" 2 3 4
"1097" 2 3 4 "1097" 2 3 4
"1098" 2 3 4 "1098" 2 3 4
"1099" 2 3 4 "1099" 2 3 4
"1100" 2 3 4 "1100" 2 3 4
"1101" 2 3 4 "1101" 2 3 4
"1106" 2 3 4 "1106" 2 3 4
"1109" 2 3 4 "1109" 2 3 4
"1110" 2 3 4 "1110" 2 3 4
"1111" 2 3 4 "1111" 2 3 4
"1112" 2 3 4 "1112" 2 3 4
"1116" 1 2 3 "1116" 1 2 3
"1117" 1 1 2 "1117" 1 2 3
"1118" 1 1 2 "1118" 1 2 3
"1123" 2 3 4 "1123" 2 3 4
"1124" 2 3 4 "1124" 2 3 4
"1125" 2 3 4 "1125" 2 3 4
"1126" 2 3 4 "1126" 2 3 4
"1127" 2 3 4 "1127" 2 3 4
"1128" 2 3 4 "1128" 2 3 4
"1129" 2 3 4 "1129" 2 3 4
"1130" 2 3 4 "1130" 2 3 4
"1131" 2 3 4 "1131" 2 3 4
"1138" 2 3 4 "1138" 2 3 4
"1139" 2 3 4 "1139" 2 3 4
